Title,date,rating,workout_bool,hrs_outside,weather
Connor’s iPhone,"June 25, 2024",7,0,1,Sunny
Connor’s iPhone,"June 24, 2024",7,1,0,Cloudy
Connor’s iPhone,"June 23, 2024",8,0,2,Partly Cloudy
Connor’s iPhone,"June 22, 2024",8,0,4,Cloudy
Connor’s iPhone,"June 21, 2024",8,0,0,Cloudy
Connor’s iPhone,"June 20, 2024",7,1,1,Sunny
Connor’s iPhone,"June 19, 2024",8,0,2,Sunny
Connor’s iPhone,"June 18, 2024",8,1,3,Sunny
Connor’s iPhone,"June 17, 2024",7,1,0,Partly Cloudy
Connor’s iPhone,"June 16, 2024",8,0,3,Sunny
Connor’s iPhone,"June 15, 2024",9,0,8,Sunny
Connor’s iPhone,"June 14, 2024",7,0,0,Rainy
Connor’s iPhone,"June 13, 2024",6,0,2,Sunny
Connor’s iPhone,"June 12, 2024",10,0,10,Partly cloudy
Connor’s iPhone,"June 11, 2024",9,0,5,Cloudy
Connor’s iPhone,"June 10, 2024",7,0,0,Sunny
Connor’s iPhone,"June 9, 2024",7,0,1,Partly Rainy
Connor’s iPhone,"June 8, 2024",8,1,4,Partly cloudy
Connor’s iPhone,"June 7, 2024",8,1,2,Partly Cloudy
Connor’s iPhone,"June 6, 2024",6,1,0,Overcast
Connor’s iPhone,"June 4, 2024",8,0,1,Sunny
Connor’s iPhone,"June 3, 2024",7,1,1,Sunny
Connor’s iPhone,"June 2, 2024",9,0,6,Sunny
Connor’s iPhone,"June 1, 2024",8,0,3,Sunny
Connor’s iPhone,"May 31, 2024",7,1,0,Sunny
,,,,,
