Name,Scripture,Reading,Stretch,Fretboard,Date,Day Score,Stats
"@January 16, 2025 ",Yes,No,Yes,Yes,"January 16, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 15, 2025 ",Yes,Yes,No,Yes,"January 15, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 14, 2025 ",Yes,Yes,Yes,Yes,"January 14, 2025",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 13, 2025 ",Yes,Yes,No,No,"January 13, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 12, 2025 ",Yes,Yes,No,No,"January 12, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 11, 2025 ",Yes,Yes,No,No,"January 11, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 10, 2025 ",Yes,Yes,No,No,"January 10, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 9, 2025 ",Yes,Yes,No,No,"January 9, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 8, 2025 ",No,Yes,No,No,"January 8, 2025",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 7, 2025 ",Yes,Yes,No,No,"January 7, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 6, 2025 ",No,Yes,No,No,"January 6, 2025",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 5, 2025 ",Yes,Yes,No,No,"January 5, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 4, 2025 ",Yes,Yes,No,No,"January 4, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 3, 2025 ",No,Yes,No,Yes,"January 3, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 2, 2025 ",Yes,Yes,Yes,Yes,"January 2, 2025",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 1, 2025 ",Yes,No,No,No,"January 1, 2025",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 31, 2024 ",No,No,Yes,Yes,"December 31, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 30, 2024 ",Yes,No,No,No,"December 30, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 29, 2024 ",Yes,Yes,No,No,"December 29, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 28, 2024 ",Yes,Yes,Yes,No,"December 28, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 27, 2024 ",Yes,Yes,Yes,Yes,"December 27, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 26, 2024 ",Yes,Yes,No,No,"December 26, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 25, 2024 ",Yes,Yes,Yes,No,"December 25, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 24, 2024 ",Yes,Yes,No,No,"December 24, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 23, 2024 ",Yes,Yes,Yes,No,"December 23, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 22, 2024 ",Yes,No,No,No,"December 22, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 21, 2024 ",No,No,No,No,"December 21, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 20, 2024 ",No,No,Yes,No,"December 20, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 19, 2024 ",No,No,Yes,No,"December 19, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 18, 2024 ",Yes,Yes,Yes,No,"December 18, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 17, 2024 ",No,Yes,No,No,"December 17, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 16, 2024 ",Yes,Yes,Yes,Yes,"December 16, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 15, 2024 ",Yes,Yes,No,No,"December 15, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 14, 2024 ",No,Yes,No,No,"December 14, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 13, 2024 ",Yes,Yes,Yes,Yes,"December 13, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 12, 2024 ",Yes,Yes,Yes,Yes,"December 12, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 11, 2024 ",Yes,Yes,Yes,Yes,"December 11, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 10, 2024 ",Yes,Yes,Yes,No,"December 10, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 9, 2024 ",Yes,Yes,Yes,Yes,"December 9, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 8, 2024 ",No,No,No,No,"December 8, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 7, 2024 ",No,No,Yes,No,"December 7, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 6, 2024 ",No,Yes,No,Yes,"December 6, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 5, 2024 ",Yes,Yes,Yes,Yes,"December 5, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 4, 2024 ",Yes,Yes,Yes,Yes,"December 4, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 3, 2024 ",Yes,Yes,Yes,Yes,"December 3, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 2, 2024 ",Yes,No,Yes,No,"December 2, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@December 1, 2024 ",Yes,Yes,No,No,"December 1, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 30, 2024 ",Yes,No,No,No,"November 30, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 29, 2024 ",Yes,Yes,No,No,"November 29, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 28, 2024 ",No,No,No,No,"November 28, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 27, 2024 ",Yes,No,No,Yes,"November 27, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 26, 2024 ",Yes,Yes,Yes,Yes,"November 26, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 25, 2024 ",Yes,Yes,Yes,Yes,"November 25, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 24, 2024 ",Yes,Yes,No,Yes,"November 24, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 23, 2024 ",No,No,Yes,No,"November 23, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 22, 2024 ",Yes,Yes,Yes,No,"November 22, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 21, 2024 ",Yes,No,No,No,"November 21, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 20, 2024 ",Yes,Yes,Yes,Yes,"November 20, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 19, 2024 ",Yes,Yes,Yes,Yes,"November 19, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 18, 2024 ",Yes,Yes,Yes,No,"November 18, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 17, 2024 ",Yes,No,No,No,"November 17, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 16, 2024 ",Yes,No,No,No,"November 16, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 15, 2024 ",No,No,Yes,No,"November 15, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 14, 2024 ",Yes,No,No,Yes,"November 14, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 13, 2024 ",Yes,No,No,No,"November 13, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 12, 2024 ",Yes,Yes,Yes,Yes,"November 12, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 11, 2024 ",Yes,Yes,Yes,No,"November 11, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 10, 2024 ",Yes,No,No,No,"November 10, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 9, 2024 ",No,No,Yes,Yes,"November 9, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 8, 2024 ",Yes,No,Yes,No,"November 8, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 7, 2024 ",Yes,Yes,Yes,Yes,"November 7, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 6, 2024 ",No,No,Yes,Yes,"November 6, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 5, 2024 ",Yes,No,No,No,"November 5, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 4, 2024 ",Yes,Yes,Yes,Yes,"November 4, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 3, 2024 ",Yes,Yes,Yes,Yes,"November 3, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 2, 2024 ",No,No,No,No,"November 2, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@November 1, 2024 ",No,No,No,No,"November 1, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 31, 2024 ",Yes,No,Yes,Yes,"October 31, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 30, 2024 ",Yes,No,Yes,No,"October 30, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 29, 2024 ",Yes,No,No,Yes,"October 29, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 28, 2024 ",Yes,Yes,Yes,Yes,"October 28, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 27, 2024 ",Yes,No,No,No,"October 27, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 26, 2024 ",Yes,No,No,No,"October 26, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 25, 2024 ",No,No,No,No,"October 25, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 24, 2024 ",No,No,Yes,Yes,"October 24, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 23, 2024 ",Yes,No,Yes,Yes,"October 23, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 22, 2024 ",Yes,No,Yes,Yes,"October 22, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 21, 2024 ",Yes,Yes,Yes,No,"October 21, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 20, 2024 ",Yes,Yes,No,No,"October 20, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 19, 2024 ",No,No,No,No,"October 19, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 18, 2024 ",Yes,No,Yes,No,"October 18, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 17, 2024 ",Yes,No,Yes,Yes,"October 17, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 16, 2024 ",Yes,No,Yes,No,"October 16, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 15, 2024 ",Yes,Yes,No,No,"October 15, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 14, 2024 ",No,No,No,No,"October 14, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 13, 2024 ",Yes,No,No,No,"October 13, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 12, 2024 ",No,No,No,No,"October 12, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 11, 2024 ",No,No,No,No,"October 11, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 10, 2024 ",Yes,No,Yes,Yes,"October 10, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 9, 2024 ",Yes,No,Yes,No,"October 9, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 8, 2024 ",Yes,Yes,Yes,Yes,"October 8, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 7, 2024 ",Yes,Yes,Yes,Yes,"October 7, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 6, 2024 ",Yes,Yes,Yes,Yes,"October 6, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 5, 2024 ",Yes,Yes,Yes,Yes,"October 5, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 4, 2024 ",Yes,No,Yes,Yes,"October 4, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 3, 2024 ",Yes,Yes,Yes,Yes,"October 3, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 2, 2024 ",Yes,No,Yes,No,"October 2, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@October 1, 2024 ",Yes,No,Yes,No,"October 1, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 30, 2024 ",Yes,Yes,Yes,Yes,"September 30, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 29, 2024 ",Yes,Yes,Yes,No,"September 29, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 28, 2024 ",No,No,No,Yes,"September 28, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 27, 2024 ",Yes,Yes,Yes,Yes,"September 27, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 26, 2024 ",Yes,Yes,Yes,Yes,"September 26, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 25, 2024 ",Yes,Yes,Yes,Yes,"September 25, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 24, 2024 ",Yes,Yes,Yes,No,"September 24, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 23, 2024 ",Yes,Yes,Yes,Yes,"September 23, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 22, 2024 ",Yes,Yes,Yes,No,"September 22, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 21, 2024 ",No,No,Yes,No,"September 21, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 20, 2024 ",No,No,No,Yes,"September 20, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 19, 2024 ",Yes,Yes,Yes,Yes,"September 19, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 18, 2024 ",Yes,Yes,Yes,Yes,"September 18, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 17, 2024 ",Yes,Yes,Yes,Yes,"September 17, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 16, 2024 ",Yes,Yes,Yes,Yes,"September 16, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 15, 2024 ",Yes,Yes,No,Yes,"September 15, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 14, 2024 ",Yes,Yes,Yes,No,"September 14, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 13, 2024 ",Yes,Yes,Yes,Yes,"September 13, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 12, 2024 ",Yes,Yes,No,Yes,"September 12, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 11, 2024 ",Yes,Yes,Yes,Yes,"September 11, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 10, 2024 ",Yes,Yes,Yes,Yes,"September 10, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 9, 2024 ",Yes,Yes,Yes,Yes,"September 9, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 8, 2024 ",Yes,Yes,No,No,"September 8, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 7, 2024 ",No,No,No,No,"September 7, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 6, 2024 ",No,No,No,No,"September 6, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 5, 2024 ",Yes,Yes,Yes,Yes,"September 5, 2024",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 4, 2024 ",Yes,Yes,Yes,No,"September 4, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 3, 2024 ",Yes,No,Yes,No,"September 3, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 2, 2024 ",Yes,No,Yes,No,"September 2, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@September 1, 2024 ",Yes,No,Yes,No,"September 1, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 31, 2024 ",Yes,Yes,Yes,No,"August 31, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 30, 2024 ",No,Yes,Yes,No,"August 30, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 29, 2024 ",Yes,Yes,Yes,No,"August 29, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 28, 2024 ",No,Yes,Yes,No,"August 28, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 27, 2024 ",No,No,Yes,No,"August 27, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 26, 2024 ",Yes,No,Yes,No,"August 26, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 25, 2024 ",Yes,Yes,Yes,No,"August 25, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 24, 2024 ",Yes,Yes,Yes,No,"August 24, 2024",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 23, 2024 ",No,No,No,No,"August 23, 2024",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 22, 2024 ",Yes,Yes,No,No,"August 23, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 21, 2024 ",No,Yes,No,No,"August 21, 2024",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 20, 2024 ",Yes,Yes,No,No,"August 20, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@August 19, 2024 ",Yes,Yes,No,No,"August 19, 2024",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
